Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,44.6,All races/ ethnicities (aggregated),2017,Flu vaccination
Allegany,35.5,All races/ ethnicities (aggregated),2017,Flu vaccination
Anne Arundel,46.7,All races/ ethnicities (aggregated),2017,Flu vaccination
Baltimore City,41.7,All races/ ethnicities (aggregated),2017,Flu vaccination
Baltimore County,48.7,All races/ ethnicities (aggregated),2017,Flu vaccination
Calvert,49.8,All races/ ethnicities (aggregated),2017,Flu vaccination
Caroline,34.6,All races/ ethnicities (aggregated),2017,Flu vaccination
Carroll,50.9,All races/ ethnicities (aggregated),2017,Flu vaccination
Cecil,47.4,All races/ ethnicities (aggregated),2017,Flu vaccination
Charles,38.1,All races/ ethnicities (aggregated),2017,Flu vaccination
Dorchester,53.2,All races/ ethnicities (aggregated),2017,Flu vaccination
Frederick,43.6,All races/ ethnicities (aggregated),2017,Flu vaccination
Garrett,31.6,All races/ ethnicities (aggregated),2017,Flu vaccination
Harford,47.1,All races/ ethnicities (aggregated),2017,Flu vaccination
Howard,49.3,All races/ ethnicities (aggregated),2017,Flu vaccination
Kent,44.0,All races/ ethnicities (aggregated),2017,Flu vaccination
Montgomery,54.0,All races/ ethnicities (aggregated),2017,Flu vaccination
Prince George's,41.4,All races/ ethnicities (aggregated),2017,Flu vaccination
Queen Anne's,54.2,All races/ ethnicities (aggregated),2017,Flu vaccination
Saint Mary's,37.9,All races/ ethnicities (aggregated),2017,Flu vaccination
Somerset,54.9,All races/ ethnicities (aggregated),2017,Flu vaccination
Talbot,49.9,All races/ ethnicities (aggregated),2017,Flu vaccination
Washington,42.2,All races/ ethnicities (aggregated),2017,Flu vaccination
Wicomico,49.1,All races/ ethnicities (aggregated),2017,Flu vaccination
Worcester,49.0,All races/ ethnicities (aggregated),2017,Flu vaccination
Allegany,,Black Non-Hispanic,2017,Flu vaccination
Anne Arundel,37.3,Black Non-Hispanic,2017,Flu vaccination
Baltimore City,40.8,Black Non-Hispanic,2017,Flu vaccination
Baltimore County,40.6,Black Non-Hispanic,2017,Flu vaccination
Calvert,,Black Non-Hispanic,2017,Flu vaccination
Caroline,,Black Non-Hispanic,2017,Flu vaccination
Carroll,,Black Non-Hispanic,2017,Flu vaccination
Cecil,,Black Non-Hispanic,2017,Flu vaccination
Charles,27.9,Black Non-Hispanic,2017,Flu vaccination
Dorchester,57.7,Black Non-Hispanic,2017,Flu vaccination
Frederick,,Black Non-Hispanic,2017,Flu vaccination
Garrett,,Black Non-Hispanic,2017,Flu vaccination
Harford,57.3,Black Non-Hispanic,2017,Flu vaccination
Howard,36.6,Black Non-Hispanic,2017,Flu vaccination
Kent,,Black Non-Hispanic,2017,Flu vaccination
Montgomery,39.5,Black Non-Hispanic,2017,Flu vaccination
Prince George's,38.5,Black Non-Hispanic,2017,Flu vaccination
Queen Anne's,68.2,Black Non-Hispanic,2017,Flu vaccination
Saint Mary's,,Black Non-Hispanic,2017,Flu vaccination
Somerset,,Black Non-Hispanic,2017,Flu vaccination
Talbot,42.2,Black Non-Hispanic,2017,Flu vaccination
Washington,,Black Non-Hispanic,2017,Flu vaccination
Wicomico,43.2,Black Non-Hispanic,2017,Flu vaccination
Worcester,,Black Non-Hispanic,2017,Flu vaccination
State,,Hispanic,2017,Flu vaccination
Allegany,,Hispanic,2017,Flu vaccination
Anne Arundel,,Hispanic,2017,Flu vaccination
Baltimore City,,Hispanic,2017,Flu vaccination
Baltimore County,,Hispanic,2017,Flu vaccination
Calvert,,Hispanic,2017,Flu vaccination
Caroline,,Hispanic,2017,Flu vaccination
Carroll,,Hispanic,2017,Flu vaccination
Cecil,,Hispanic,2017,Flu vaccination
Charles,,Hispanic,2017,Flu vaccination
Dorchester,,Hispanic,2017,Flu vaccination
Frederick,,Hispanic,2017,Flu vaccination
Garrett,,Hispanic,2017,Flu vaccination
Harford,,Hispanic,2017,Flu vaccination
Howard,,Hispanic,2017,Flu vaccination
Kent,,Hispanic,2017,Flu vaccination
Montgomery,38.0,Hispanic,2017,Flu vaccination
Prince George's,38.5,Hispanic,2017,Flu vaccination
Queen Anne's,,Hispanic,2017,Flu vaccination
Saint Mary's,,Hispanic,2017,Flu vaccination
Somerset,,Hispanic,2017,Flu vaccination
Talbot,,Hispanic,2017,Flu vaccination
Washington,,Hispanic,2017,Flu vaccination
Wicomico,,Hispanic,2017,Flu vaccination
Worcester,,Hispanic,2017,Flu vaccination
Allegany,32.6,White Non-Hispanic,2017,Flu vaccination
Anne Arundel,48.9,White Non-Hispanic,2017,Flu vaccination
Baltimore City,46.2,White Non-Hispanic,2017,Flu vaccination
Baltimore County,54.0,White Non-Hispanic,2017,Flu vaccination
Calvert,51.5,White Non-Hispanic,2017,Flu vaccination
Caroline,31.6,White Non-Hispanic,2017,Flu vaccination
Carroll,50.7,White Non-Hispanic,2017,Flu vaccination
Cecil,50.8,White Non-Hispanic,2017,Flu vaccination
Charles,50.6,White Non-Hispanic,2017,Flu vaccination
Dorchester,53.5,White Non-Hispanic,2017,Flu vaccination
Frederick,47.3,White Non-Hispanic,2017,Flu vaccination
Garrett,31.7,White Non-Hispanic,2017,Flu vaccination
Harford,46.3,White Non-Hispanic,2017,Flu vaccination
Howard,51.1,White Non-Hispanic,2017,Flu vaccination
Kent,47.3,White Non-Hispanic,2017,Flu vaccination
Montgomery,65.3,White Non-Hispanic,2017,Flu vaccination
Prince George's,50.7,White Non-Hispanic,2017,Flu vaccination
Queen Anne's,55.3,White Non-Hispanic,2017,Flu vaccination
Saint Mary's,39.1,White Non-Hispanic,2017,Flu vaccination
Somerset,38.5,White Non-Hispanic,2017,Flu vaccination
Talbot,51.7,White Non-Hispanic,2017,Flu vaccination
Washington,41.8,White Non-Hispanic,2017,Flu vaccination
Wicomico,48.0,White Non-Hispanic,2017,Flu vaccination
Worcester,52.7,White Non-Hispanic,2017,Flu vaccination
State,,Asian Non-Hispanic,2017,Flu vaccination
Allegany,,Asian Non-Hispanic,2017,Flu vaccination
Anne Arundel,,Asian Non-Hispanic,2017,Flu vaccination
Baltimore City,,Asian Non-Hispanic,2017,Flu vaccination
Baltimore County,,Asian Non-Hispanic,2017,Flu vaccination
Calvert,,Asian Non-Hispanic,2017,Flu vaccination
Caroline,,Asian Non-Hispanic,2017,Flu vaccination
Carroll,,Asian Non-Hispanic,2017,Flu vaccination
Cecil,,Asian Non-Hispanic,2017,Flu vaccination
Charles,,Asian Non-Hispanic,2017,Flu vaccination
Dorchester,,Asian Non-Hispanic,2017,Flu vaccination
Frederick,,Asian Non-Hispanic,2017,Flu vaccination
Garrett,,Asian Non-Hispanic,2017,Flu vaccination
Harford,,Asian Non-Hispanic,2017,Flu vaccination
Howard,,Asian Non-Hispanic,2017,Flu vaccination
Kent,,Asian Non-Hispanic,2017,Flu vaccination
Montgomery,54.5,Asian Non-Hispanic,2017,Flu vaccination
Prince George's,,Asian Non-Hispanic,2017,Flu vaccination
Queen Anne's,,Asian Non-Hispanic,2017,Flu vaccination
Saint Mary's,,Asian Non-Hispanic,2017,Flu vaccination
Somerset,,Asian Non-Hispanic,2017,Flu vaccination
Talbot,,Asian Non-Hispanic,2017,Flu vaccination
Washington,,Asian Non-Hispanic,2017,Flu vaccination
Wicomico,,Asian Non-Hispanic,2017,Flu vaccination
Worcester,,Asian Non-Hispanic,2017,Flu vaccination
State,43.2,All races/ ethnicities (aggregated),2016,Flu vaccination
Allegany,35.7,All races/ ethnicities (aggregated),2016,Flu vaccination
Anne Arundel,48.0,All races/ ethnicities (aggregated),2016,Flu vaccination
Baltimore City,43.0,All races/ ethnicities (aggregated),2016,Flu vaccination
Baltimore County,45.4,All races/ ethnicities (aggregated),2016,Flu vaccination
Calvert,38.4,All races/ ethnicities (aggregated),2016,Flu vaccination
Caroline,39.2,All races/ ethnicities (aggregated),2016,Flu vaccination
Carroll,42.1,All races/ ethnicities (aggregated),2016,Flu vaccination
Cecil,35.5,All races/ ethnicities (aggregated),2016,Flu vaccination
Charles,38.9,All races/ ethnicities (aggregated),2016,Flu vaccination
Dorchester,39.7,All races/ ethnicities (aggregated),2016,Flu vaccination
Frederick,42.9,All races/ ethnicities (aggregated),2016,Flu vaccination
Garrett,30.2,All races/ ethnicities (aggregated),2016,Flu vaccination
Harford,48.4,All races/ ethnicities (aggregated),2016,Flu vaccination
Howard,54.8,All races/ ethnicities (aggregated),2016,Flu vaccination
Kent,45.3,All races/ ethnicities (aggregated),2016,Flu vaccination
Montgomery,48.2,All races/ ethnicities (aggregated),2016,Flu vaccination
Prince George's,33.1,All races/ ethnicities (aggregated),2016,Flu vaccination
Queen Anne's,39.9,All races/ ethnicities (aggregated),2016,Flu vaccination
Saint Mary's,42.3,All races/ ethnicities (aggregated),2016,Flu vaccination
Somerset,54.2,All races/ ethnicities (aggregated),2016,Flu vaccination
Talbot,47.5,All races/ ethnicities (aggregated),2016,Flu vaccination
Washington,32.3,All races/ ethnicities (aggregated),2016,Flu vaccination
Wicomico,37.5,All races/ ethnicities (aggregated),2016,Flu vaccination
